epoch,loss
0,7.3505193403818545
1,5.366015896615053
2,4.994438789888388
3,4.6178007085497175
4,4.312249267059896
5,4.114424333286782
6,3.8702895354686513
7,3.63535221779926
0,7.3397135185595195
0,7.326073791003889
1,5.377184844524082
2,5.165837759462495
3,4.580549674522546
4,4.3286623794378505
5,4.0929742767992945
6,3.8443356266038284
7,3.7636741856113076
8,3.5277164918370545
9,3.343952839004083
10,3.2585013094875546
11,3.2079100950310626
12,3.042879709870451
13,2.9668051929006145
14,2.8932390495513878
15,2.7936707443247237
16,2.7386912456713617
17,2.721351536922157
18,2.6009466147774623
19,2.5785678252060382
20,2.576788354613301
21,2.5006036495582924
22,2.4679758897982538
23,2.4013893490967653
24,2.316187978773895
25,2.3416460257334015
26,2.3017732954791024
27,2.2345072507030435
28,2.235582760949102
29,2.1958487102140984
30,2.1616353965881796
31,2.14636477181274
32,2.1252286758584282
33,2.0841086599458425
34,2.068963516400092
35,2.0421963695229755
36,2.0062790656876235
37,2.0321429635708532
38,2.003299603549143
39,1.9918658490189247
40,1.9723817549852862
41,1.9634307171218097
42,1.9528719174882605
43,1.9203011611890461
44,1.9077528765839007
45,1.9358826816702883
46,1.8857576144445274
47,1.8956329888250265
48,1.8840851174253557
49,1.8779164004760485
50,1.885225354331649
51,1.85435397664292
52,1.8537080999877718
53,1.8280292094374697
54,1.8263437101203535
55,1.8350117532536387
56,1.8496300742133625
57,1.7985921676995025
