epoch,loss
0,4.06977596210806
1,2.4676495503647287
2,2.0935314680191506
3,1.8649418818846084
4,1.751097000649101
5,1.6782731888796154
6,1.5861307473036281
7,1.5260645488793392
8,1.4901416607593234
9,1.4204412437060423
10,1.3932280588986579
11,1.3688471728458742
12,1.3130913951208716
13,1.2945654360374859
14,1.271433145644372
15,1.2338636603742315
16,1.2216399060215866
17,1.2110329753787894
18,1.1731653720977013
19,1.1564308844585167
20,1.1542700407379551
21,1.128380201877209
22,1.1211475425252788
23,1.1104594694888383
24,1.0855869740143156
25,1.0819886260963323
26,1.0705419309986266
27,1.0621175457563317
28,1.0463865003617185
29,1.0426054806510607
30,1.0353473778931719
31,1.0244579252679098
32,1.0169929348376758
33,1.0172719831503274
34,0.9971244651471314
35,1.0018355927498717
36,0.9939007638734684
37,0.9875425625082693
38,0.9911005095457821
39,0.9885106503440623
