epoch,loss,acc_0,acc_1,acc_2
0,3.836383203022806,0.02,0.05,0.09
1,3.6669231100969832,0.02,0.05,0.09
2,3.5527717124176936,0.02,0.05,0.09
3,3.4256985978951255,0.02,0.05,0.09
4,3.3710272901890006,0.02,0.05,0.09
5,3.2955862306145316,0.02,0.05,0.09
6,3.227110218047337,0.02,0.05,0.09
7,3.1805415652494795,0.02,0.05,0.09
8,3.1451688437958665,0.02,0.05,0.09
9,3.0790883396551694,0.02,0.05,0.09
10,3.040222262204768,0.02,0.05,0.09
11,3.0224102491380553,0.02,0.05,0.09
12,2.9737748953153322,0.02,0.05,0.09
13,2.949102622599263,0.02,0.05,0.09
14,2.927568238704986,0.02,0.05,0.09
15,2.8794097219108905,0.02,0.05,0.09
