epoch,loss,acc_0,acc_1,acc_2
0,16.59192651005651,0.04,0.13,0.21
1,7.253933296456205,0.04,0.14,0.23
2,6.3892923955688135,0.04,0.14,0.23
3,5.852331813354805,0.04,0.14,0.23
4,5.616996645960357,0.04,0.14,0.22
