epoch,loss
0,9.18795339933907
1,5.824239328018545
2,5.27329582105934
3,5.054189887091828
4,4.824105551291723
5,4.3819945728319
6,3.9406446907669306
7,3.619799888091317
8,3.4461076762818266
9,3.187738522188738
10,3.1072313733408614
11,3.018993284921938
12,2.8321160477159233
13,2.773121461897972
14,2.75949603196932
15,2.622488124431887
16,2.52513348282082
17,2.534161135185665
18,2.3811215645885873
19,2.4128158787304224
20,2.355607029661769
21,2.2767616675312943
22,2.205790593060859
23,2.1711054230642426
24,2.111953842899917
25,2.0822807444346836
26,2.091894299512205
27,2.0209715937744477
28,1.9846154250735708
29,1.9713501625277179
30,1.9173923721973551
31,1.9071132050594315
32,1.841886263685107
33,1.8735144411281606
34,1.8314094943828725
35,1.8262157797580585
36,1.799245895521987
37,1.7542188827016314
