epoch,loss,acc_0,acc_1,acc_2
0,8.08483151837961,0,0,0
1,4.049345673376055,0,0,0
2,3.7474020575409503,0,0,0
3,3.5922829679588775,0,0,0
4,3.4642654522141414,0,0,0
5,3.4050539274713887,0,0,0
6,3.2900420368607364,0,0,0
7,3.1953179985729614,0,0,0
8,3.1731191731210964,0,0,0
9,3.115471238075797,0,0,0
10,3.06846093935753,0,0,0
11,3.041921514895425,0,0,0
12,3.0120682305364466,0,0,0
13,2.9755781049159036,0,0,0
14,2.9613206270915358,0,0,0
15,2.9159955301391545,0,0,0
16,2.894369658961225,0,0,0
17,2.843754266536058,0,0,0
18,2.8533673962550377,0,0,0
19,2.8222823699018846,0,0,0
20,2.8061096034832853,0,0,0
21,2.75634255462618,0,0,0
22,2.7401297624431438,0,0,0
23,2.739302571584929,0,0,0
24,2.75847684607577,0,0,0
25,2.7053345400895648,0,0,0
26,2.7032769107106907,0,0,0
27,2.680568396244476,0,0,0
28,2.695965258932825,0,0,0
29,2.7005774926783435,0,0,0
30,2.639471803227467,0,0,0
31,2.6476187149090555,0,0,0
32,2.6547392524890046,0,0,0
33,2.622000232383386,0,0,0
34,2.625165932747855,0,0,0
35,2.6395213850398562,0,0,0
36,2.612191475861108,0,0,0
37,2.5924557303314777,0,0,0
38,2.5747258045780126,0,0,0
39,2.5742882201920696,0,0,0
40,2.555974458402662,0,0,0
