epoch,loss
0,5.822076800046489
1,4.444229165208526
2,3.977792337789045
3,3.6054456919858544
4,3.4184806509001646
5,3.336820161299935
6,3.0102230508006564
7,2.9953468347375747
8,2.893147424038034
9,2.721423536660344
10,2.6546616897103377
11,2.5802707794549256
12,2.4005159793111184
13,2.344730969518423
14,2.3092615621183845
15,2.189974722879318
16,2.1197509936270458
17,2.0721930708580962
18,2.0222065159177873
19,1.897089728343417
20,1.8752689405033987
21,1.7977629000961315
22,1.756782579041707
23,1.7009556067156761
24,1.6332197327719769
25,1.5722716602831497
26,1.5490943064602714
27,1.4729046630988403
28,1.463798213842286
29,1.4100799749285216
30,1.3632305804931093
31,1.3183716210429945
32,1.305415149021428
33,1.275763294043524
34,1.2140224999505638
35,1.2146978908082626
36,1.1814819482315215
37,1.150562777062684
38,1.109709911441314
39,1.106564425349158
40,1.0783325244944233
41,1.0748314307372009
42,1.028543077485665
43,1.0156906153582288
