epoch,loss,acc_0,acc_1,acc_2
16,16.295470045550957,0.0,0.0,0.0
17,6.2114640539965436,0.07,0.21,0.34
18,4.671489872412975,0.07,0.23,0.39
19,4.51013130025681,0.07,0.22,0.37
20,4.401554938991453,0.07,0.21,0.36
21,4.295032891861839,0.07,0.21,0.35
22,4.23317826526791,0.06,0.21,0.34
23,4.204179053865998,0.07,0.21,0.35
24,4.15300796070959,0.06,0.2,0.34
25,4.120134246201869,0.06,0.21,0.34
26,4.074105984410189,0.06,0.21,0.34
27,4.039782885161763,0.06,0.21,0.34
28,3.992239227698312,0.06,0.2,0.34
29,4.023667384364181,0.06,0.2,0.34
30,3.9534393308739233,0.06,0.2,0.34
31,3.9413192190128807,0.06,0.2,0.34
32,3.898012065259533,0.06,0.2,0.34
33,3.914681212291276,0.06,0.2,0.33
34,3.8509616149917947,0.06,0.2,0.33
35,3.872623077127711,0.06,0.2,0.33
36,3.8147166716224747,0.06,0.2,0.33
37,3.862527897285635,0.06,0.2,0.33
38,3.8004864241633527,0.06,0.2,0.34
39,3.8032266368222825,0.06,0.2,0.33
40,3.8066885470392604,0.06,0.2,0.33
41,3.7819167269008784,0.06,0.2,0.33
42,3.768164745922195,0.06,0.2,0.33
43,3.7820315216887215,0.06,0.2,0.33
44,3.780809239777963,0.06,0.2,0.33
45,3.742116696627161,0.06,0.2,0.33
46,3.734881589342286,0.06,0.2,0.33
47,3.7489922404384384,0.06,0.2,0.33
48,3.7600951672361456,0.06,0.2,0.33
49,3.727831944906512,0.06,0.2,0.33
50,3.7311039369580086,0.06,0.2,0.33
51,3.7367910673783857,0.06,0.2,0.33
52,3.7077647398589426,0.06,0.2,0.33
53,3.750207849625864,0.06,0.2,0.33
54,3.712974315582041,0.06,0.2,0.33
55,3.698762662916876,0.06,0.2,0.33
56,3.7573099667228704,0.06,0.2,0.33
57,3.7088075053758462,0.06,0.2,0.33
58,3.743952457607982,0.06,0.2,0.33
59,3.691161243323793,0.06,0.2,0.33
