epoch,loss
0,5.936018742068869
1,3.581445394383102
2,2.9671637474904293
3,2.532082699752245
4,2.339128122603307
5,2.2303141649433824
6,2.094152871116263
7,2.007465945091404
8,1.9450596399483133
9,1.8592902603208041
10,1.8170143537052341
11,1.7817390414730447
12,1.7091891260322978
13,1.6477333889242078
14,1.637539200167187
15,1.609164578289282
16,1.5701926259525487
17,1.5667120252085514
18,1.505775461988371
19,1.4894958202174453
20,1.4676766023968086
21,1.4475711112041942
22,1.442066685547594
23,1.4165059358467822
