epoch,loss
0,6.691813209977893
1,3.651192084127679
2,3.378898834442318
3,3.2144081684525223
4,3.151037233300386
5,2.9824785028353094
6,2.7631622192616248
7,2.5598113204238038
8,2.4036370858273486
9,2.224451671274521
10,2.1490358455482603
11,2.0799684953247035
12,1.9960663478363416
13,1.9628552086564888
14,1.8766545674260144
15,1.856722464867092
16,1.812349469921705
17,1.8167201616475035
18,1.9108983146549654
19,1.882213848044452
20,1.8705998831828343
21,1.8474319022485939
22,1.7762674842453334
23,1.7411505263601268
24,1.734386487861797
25,1.7135429943451472
26,1.7188645529532653
27,1.710018720538323
28,1.6926630795036557
29,1.6442530157947761
30,1.6296964128719957
31,1.624226841876789
32,1.6118537348688617
33,1.5960479730658077
34,1.594892578618709
35,1.6175783603622853
36,1.576143890809432
37,1.6046986172619662
38,1.5716758952962273
39,1.5685600919126081
40,1.5715850095530397
41,1.5368470377926207
