epoch,loss,acc_0,acc_1,acc_2
0,7.992486820757172,0.04,0.13,0.22
1,4.5207473558672655,0.04,0.14,0.22
2,4.114472167352344,0.04,0.14,0.22
3,3.5853024569830776,0.04,0.14,0.22
4,3.3155831564119653,0.04,0.13,0.22
5,3.0414971008272698,0.04,0.13,0.22
