epoch,loss
0,4.59272938371327
1,2.9138238544440047
2,2.44283634681466
3,2.1682464051933352
4,2.0433589509564163
5,1.9341356461777572
6,1.8305788075274554
7,1.7594082228790124
8,1.7242803737920542
9,1.6504518258013545
10,1.6111216527626069
11,1.5676051719529762
12,1.5311031024183415
13,1.4955083097558464
14,1.4871303192672105
15,1.4555861531464098
16,1.4276138716019118
17,1.4175149912706368
18,1.381200774223017
19,1.3656986609199842
20,1.3473695598171846
21,1.329301935886096
22,1.320601769748607
